YEAR,MONTH,Datetime,Rainfall
1956,Dec,01-12-1956,5.283
1957,Jan,01-01-1957,13.186
1957,Feb,01-02-1957,0
1957,Mar,01-03-1957,14.091
1957,Apr,01-04-1957,2.929
1957,May,01-05-1957,11.459
1957,Jun,01-06-1957,35.435
1957,Jul,01-07-1957,222.495
1957,Aug,01-08-1957,181.975
1957,Sep,01-09-1957,64.557
1957,Oct,01-10-1957,4.942
1957,Nov,01-11-1957,14.028
1957,Dec,01-12-1957,2.414
1958,Jan,01-01-1958,1.602
1958,Feb,01-02-1958,1.21
1958,Mar,01-03-1958,2.466
1958,Apr,01-04-1958,0.206
1958,May,01-05-1958,3.674
1958,Jun,01-06-1958,11.773
1958,Jul,01-07-1958,303.012
1958,Aug,01-08-1958,121.098
1958,Sep,01-09-1958,273.61
1958,Oct,01-10-1958,9.067
1958,Nov,01-11-1958,41.306
1958,Dec,01-12-1958,8.453
1959,Jan,01-01-1959,4.172
1959,Feb,01-02-1959,0.747
1959,Mar,01-03-1959,0.804
1959,Apr,01-04-1959,1.197
1959,May,01-05-1959,28.43
1959,Jun,01-06-1959,61.709
1959,Jul,01-07-1959,196.905
1959,Aug,01-08-1959,143.234
1959,Sep,01-09-1959,120.596
1959,Oct,01-10-1959,1.371
1959,Nov,01-11-1959,13.103
1959,Dec,01-12-1959,0
1960,Jan,01-01-1960,0.912
1960,Feb,01-02-1960,0
1960,Mar,01-03-1960,3.294
1960,Apr,01-04-1960,0.666
1960,May,01-05-1960,8.771
1960,Jun,01-06-1960,44.184
1960,Jul,01-07-1960,188.457
1960,Aug,01-08-1960,169.253
1960,Sep,01-09-1960,21.997
1960,Oct,01-10-1960,19.324
1960,Nov,01-11-1960,0
1960,Dec,01-12-1960,0.896
1961,Jan,01-01-1961,8.103
1961,Feb,01-02-1961,23.096
1961,Mar,01-03-1961,0
1961,Apr,01-04-1961,10.505
1961,May,01-05-1961,9.025
1961,Jun,01-06-1961,54.678
1961,Jul,01-07-1961,153.792
1961,Aug,01-08-1961,248.602
1961,Sep,01-09-1961,172.835
1961,Oct,01-10-1961,13.012
1961,Nov,01-11-1961,3.016
1961,Dec,01-12-1961,0.716
1962,Jan,01-01-1962,5.517
1962,Feb,01-02-1962,0.861
1962,Mar,01-03-1962,9.31
1962,Apr,01-04-1962,1.546
1962,May,01-05-1962,1.338
1962,Jun,01-06-1962,13.6
1962,Jul,01-07-1962,281.655
1962,Aug,01-08-1962,110.588
1962,Sep,01-09-1962,108.835
1962,Oct,01-10-1962,0
1962,Nov,01-11-1962,1.32
1962,Dec,01-12-1962,2.263
1963,Jan,01-01-1963,2.274
1963,Feb,01-02-1963,3.802
1963,Mar,01-03-1963,1.739
1963,Apr,01-04-1963,1.182
1963,May,01-05-1963,6.389
1963,Jun,01-06-1963,29.875
1963,Jul,01-07-1963,79.202
1963,Aug,01-08-1963,185.421
1963,Sep,01-09-1963,143.938
1963,Oct,01-10-1963,6.999
1963,Nov,01-11-1963,15.168
